GEOID,property_value
2.5025E+11,1240968266
2.5025E+11,156997049
2.5025E+11,125693330
2.5025E+11,162598012
2.5025E+11,151593939
2.5025E+11,106565363
2.5025E+11,202063593
2.5025E+11,116158645
2.5025E+11,284474116
2.5025E+11,126918240
2.5025E+11,112765265
2.5025E+11,23992400
2.5025E+11,83430416
2.5025E+11,105655776
2.5025E+11,76500614
2.5025E+11,113999092
2.5025E+11,240271108
2.5025E+11,140845160
2.5025E+11,84994400
2.5025E+11,109978112
2.5025E+11,129052336
2.5025E+11,300115851
2.5025E+11,260074091
2.5025E+11,210802603
2.5025E+11,201649287
2.5025E+11,71138720
2.5025E+11,84568600
2.5025E+11,150577960
2.5025E+11,765100
2.5025E+11,34120100
2.5025E+11,105325100
2.5025E+11,86768362
2.5025E+11,83552050
2.5025E+11,103006900
2.5025E+11,115151581
2.5025E+11,96575100
2.5025E+11,204886549
2.5025E+11,114697925
2.5025E+11,180599379
2.5025E+11,236032605
2.5025E+11,718359708
2.5025E+11,841795805
2.5025E+11,64990200
2.5025E+11,43767460
2.5025E+11,28659300
2.5025E+11,92646435
2.5025E+11,88451000
2.5025E+11,49412000
2.5025E+11,172471310
2.5025E+11,160323838
2.5025E+11,158372524
2.5025E+11,102180933
2.5025E+11,55606699
2.5025E+11,230364208
2.5025E+11,324315605
2.5025E+11,104217449
2.5025E+11,299058140
2.5025E+11,356317796
2.5025E+11,1178933714
2.5025E+11,1173155900
2.5025E+11,554791178
2.5025E+11,273793414
2.5025E+11,236638277
2.5025E+11,223283996
2.5025E+11,371449428
2.5025E+11,194290700
2.5025E+11,85428205
2.5025E+11,404289420
2.5025E+11,195339895
2.5025E+11,492160106
2.5025E+11,150186700
2.5025E+11,130360400
2.5025E+11,780029607
2.5025E+11,1133605877
2.5025E+11,12329607183
2.5025E+11,126303328
2.5025E+11,123888326
2.5025E+11,234118400
2.5025E+11,356255096
2.5025E+11,263431728
2.5025E+11,86961992
2.5025E+11,17870788800
2.5025E+11,252958484
2.5025E+11,158532540
2.5025E+11,145633508
2.5025E+11,1350562587
2.5025E+11,246444408
2.5025E+11,152192223
2.5025E+11,3463621300
2.5025E+11,395716171
2.5025E+11,706554795
2.5025E+11,203430667
2.5025E+11,464931200
2.5025E+11,1993274394
2.5025E+11,217302300
2.5025E+11,588284200
2.5025E+11,140236341
2.5025E+11,112724001
2.5025E+11,89669900
2.5025E+11,282309852
2.5025E+11,126998404
2.5025E+11,176120772
2.5025E+11,612823381
2.5025E+11,329090994
2.5025E+11,615530977
2.5025E+11,432522032
2.5025E+11,213908000
2.5025E+11,161068805
2.5025E+11,309020052
2.5025E+11,1458910359
2.5025E+11,5752000
2.5025E+11,492993186
2.5025E+11,2140735656
2.5025E+11,3674700
2.5025E+11,187777191
2.5025E+11,128197607
2.5025E+11,229688537
2.5025E+11,569262668
2.5025E+11,1419535995
2.5025E+11,3224404976
2.5025E+11,526271400
2.5025E+11,219401096
2.5025E+11,195890723
2.5025E+11,41051600
2.5025E+11,109711096
2.5025E+11,99461100
2.5025E+11,168054143
2.5025E+11,174652548
2.5025E+11,811976452
2.5025E+11,198091879
2.5025E+11,630048118
2.5025E+11,219968330
2.5025E+11,106669721
2.5025E+11,102847300
2.5025E+11,154582900
2.5025E+11,213811084
2.5025E+11,206744367
2.5025E+11,406847561
2.5025E+11,254242889
2.5025E+11,1350489212
2.5025E+11,271430708
2.5025E+11,375761400
2.50251E+11,146254770
2.50251E+11,40796700
2.50251E+11,119436478
2.50251E+11,140865872
2.50251E+11,87137632
2.50251E+11,56070026
2.50251E+11,71500221
2.50251E+11,96388231
2.50251E+11,76546649
2.50251E+11,57718651
2.50251E+11,171129940
2.50251E+11,207131320
2.50251E+11,98819428
2.50251E+11,107611854
2.50251E+11,122904672
2.50251E+11,91405174
2.50251E+11,100560692
2.50251E+11,146614521
2.50251E+11,110601180
2.50251E+11,70609666
2.50251E+11,213869200
2.50251E+11,233211000
2.50251E+11,85930924
2.50251E+11,188830810
2.50251E+11,241145556
2.50251E+11,164206090
2.50251E+11,74763343
2.50251E+11,82440700
2.50251E+11,142892783
2.50251E+11,80358975
2.50251E+11,134590400
2.50251E+11,83476600
2.50251E+11,138222242
2.50251E+11,87960539
2.50251E+11,102699900
2.50251E+11,205144929
2.50251E+11,209799344
2.50251E+11,105548590
2.50251E+11,215894040
2.50251E+11,160917255
2.50251E+11,160829183
