year,Connecticut,Maine,Massachusetts,New Hampshire,Rhode Island,Vermont,New England
1996,686,138,820,182,10,24,1860
1997,11,13,112,8,20,21,185
1998,60,55,363,81,48,44,651
1999,142,5,68,5,8,1,229
2000,99,12,49,10,5,29,204
2001,65,13,699,21,57,1,856
2002,26,2,40,8,3,28,107
2003,47,27,283,15,6,3,381
2004,61,2,232,27,6,2,330
2005,410,60,787,108,299,6,1670
2006,231,122,1163,490,35,11,2052
2007,946,281,405,387,58,22,2099
2008,91,99,148,29,31,25,423
2009,37,13,82,8,20,14,174
2010,637,65,1831,118,1312,9,3972
2011,3163,21,299,95,37,920,4535
2012,5403,19,153,32,713,5,6325
2013,40,21,640,24,19,27,771
2014,40,20,149,18,22,16,265
2015,7,3,325,5,9,22,371
2016,5,3,22,1,1,3,35
